submission_id,RT,age,comments,correctness,cue_category,cue_type,education,endTime,expected,experiment_id,gender,image_category,info,key_pressed,languages,picture,question,sound,startDate,startTime,timeSpent,trial_number,trial_type
1579,3085,24,,correct,bird,sound,,1595340536296,match,162,female/ weiblich,bird,incongruent,y,deutsch,materials/images/bird_sparrow_1.jpg, ,materials/sounds/bird_owl.wav,Tue Jul 21 2020 15:39:14 GMT+0200 (Mitteleuropäische Sommerzeit),1595338754344,29.6992,1,practice
1579,3177,24,,correct,motorcycle,label,,1595340536296,no match,162,female/ weiblich,bird,label_incorrect,n,deutsch,materials/images/bird_sparrow_1.jpg, ,materials/labels/motorcycle_female.wav,Tue Jul 21 2020 15:39:14 GMT+0200 (Mitteleuropäische Sommerzeit),1595338754344,29.6992,2,practice
1579,3097,24,,correct,bird,sound,,1595340536296,match,162,female/ weiblich,bird,congruent,y,deutsch,materials/images/bird_owl_1.jpg, ,materials/sounds/bird_owl.wav,Tue Jul 21 2020 15:39:14 GMT+0200 (Mitteleuropäische Sommerzeit),1595338754344,29.6992,3,practice
1579,1724,24,,correct,drum,sound,,1595340536296,no match,162,female/ weiblich,bird,sound_incorrect,n,deutsch,materials/images/bird_owl_1.jpg, ,materials/sounds/drum_bongo.wav,Tue Jul 21 2020 15:39:14 GMT+0200 (Mitteleuropäische Sommerzeit),1595338754344,29.6992,4,practice
1579,2396,24,,correct,bird,label,,1595340536296,no match,162,female/ weiblich,drum,label_incorrect,n,deutsch,materials/images/drum_kit_2.jpg, ,materials/labels/bird_male.wav,Tue Jul 21 2020 15:39:14 GMT+0200 (Mitteleuropäische Sommerzeit),1595338754344,29.6992,5,practice
1579,2390,24,,correct,bird,label,,1595340536296,match,162,female/ weiblich,bird,label_correct,y,deutsch,materials/images/bird_owl_1.jpg, ,materials/labels/bird_female.wav,Tue Jul 21 2020 15:39:14 GMT+0200 (Mitteleuropäische Sommerzeit),1595338754344,29.6992,6,practice
1579,1941,24,,correct,drum,sound,,1595340536296,match,162,female/ weiblich,drum,incongruent,y,deutsch,materials/images/drum_bongo_2.jpg, ,materials/sounds/drum_kit.wav,Tue Jul 21 2020 15:39:14 GMT+0200 (Mitteleuropäische Sommerzeit),1595338754344,29.6992,1,main
1579,1716,24,,correct,phone,sound,,1595340536296,match,162,female/ weiblich,phone,incongruent,y,deutsch,materials/images/phone_rotary_2.jpg, ,materials/sounds/phone_cell.wav,Tue Jul 21 2020 15:39:14 GMT+0200 (Mitteleuropäische Sommerzeit),1595338754344,29.6992,2,main
1579,1898,24,,correct,drum,sound,,1595340536296,no match,162,female/ weiblich,guitar,sound_incorrect,n,deutsch,materials/images/guitar_electric_1.jpg, ,materials/sounds/drum_bongo.wav,Tue Jul 21 2020 15:39:14 GMT+0200 (Mitteleuropäische Sommerzeit),1595338754344,29.6992,3,main
1579,1370,24,,correct,motorcycle,sound,,1595340536296,no match,162,female/ weiblich,dog,sound_incorrect,n,deutsch,materials/images/dog_poodle_1.jpg, ,materials/sounds/motorcycle_big.wav,Tue Jul 21 2020 15:39:14 GMT+0200 (Mitteleuropäische Sommerzeit),1595338754344,29.6992,4,main
1579,1480,24,,correct,drum,sound,,1595340536296,no match,162,female/ weiblich,guitar,sound_incorrect,n,deutsch,materials/images/guitar_acoustic_2.jpg, ,materials/sounds/drum_bongo.wav,Tue Jul 21 2020 15:39:14 GMT+0200 (Mitteleuropäische Sommerzeit),1595338754344,29.6992,5,main
1579,1101,24,,correct,bird,label,,1595340536296,no match,162,female/ weiblich,guitar,label_incorrect,n,deutsch,materials/images/guitar_acoustic_1.jpg, ,materials/labels/bird_male.wav,Tue Jul 21 2020 15:39:14 GMT+0200 (Mitteleuropäische Sommerzeit),1595338754344,29.6992,6,main
1579,1208,24,,correct,bird,label,,1595340536296,match,162,female/ weiblich,bird,label_correct,y,deutsch,materials/images/bird_sparrow_2.jpg, ,materials/labels/bird_female.wav,Tue Jul 21 2020 15:39:14 GMT+0200 (Mitteleuropäische Sommerzeit),1595338754344,29.6992,7,main
1579,1296,24,,correct,drum,sound,,1595340536296,no match,162,female/ weiblich,motorcycle,sound_incorrect,n,deutsch,materials/images/motorcycle_small_2.jpg, ,materials/sounds/drum_bongo.wav,Tue Jul 21 2020 15:39:14 GMT+0200 (Mitteleuropäische Sommerzeit),1595338754344,29.6992,8,main
1579,893,24,,correct,drum,sound,,1595340536296,no match,162,female/ weiblich,guitar,sound_incorrect,n,deutsch,materials/images/guitar_electric_1.jpg, ,materials/sounds/drum_kit.wav,Tue Jul 21 2020 15:39:14 GMT+0200 (Mitteleuropäische Sommerzeit),1595338754344,29.6992,9,main
1579,661,24,,correct,drum,label,,1595340536296,no match,162,female/ weiblich,guitar,label_incorrect,n,deutsch,materials/images/guitar_acoustic_1.jpg, ,materials/labels/drum_male.wav,Tue Jul 21 2020 15:39:14 GMT+0200 (Mitteleuropäische Sommerzeit),1595338754344,29.6992,10,main
1579,1572,24,,correct,motorcycle,label,,1595340536296,match,162,female/ weiblich,motorcycle,label_correct,y,deutsch,materials/images/motorcycle_small_1.jpg, ,materials/labels/motorcycle_male.wav,Tue Jul 21 2020 15:39:14 GMT+0200 (Mitteleuropäische Sommerzeit),1595338754344,29.6992,11,main
1579,639,24,,correct,guitar,sound,,1595340536296,match,162,female/ weiblich,guitar,congruent,y,deutsch,materials/images/guitar_electric_1.jpg, ,materials/sounds/guitar_electric.wav,Tue Jul 21 2020 15:39:14 GMT+0200 (Mitteleuropäische Sommerzeit),1595338754344,29.6992,12,main
